leadercode,stname,Region,rolecode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas,last_dynamicage
91,Myanmar,South-Eastern Asia,337.0,,,,,Bao Youxiang,Bao Youxiang,Bao,Youxiang,Pao Yuchang,,Myanmar vs UWSA,The United Wa State Army,UWSA,,Male,1949.0,,0.0,"Kunma, Northern Wa Nillage Near Gawng Lang, Burma",46.0,48.0,Appointed/Designated,0.0,,,,,,,,,,,1.0,1.0,1.0,0.0,Activist,0.0,1.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Wa,0.0,0.0,Complete,65,1997.0-1997.0,1.0,1278,1.0,3.0,1997.0,12.0,1997.0,228.0,321.0,1207.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,-3.0,1448.0,775.0,0.0,1.0,0.0,0.0,0.0,48.0
92,Philippines,South-Eastern Asia,372.0,,,,,Benito Tiamzon,Benito Tiamzon,Benito,Tiamzon,,,Philippines vs CPP (NPA),Communist Party of the Philippines (CPP)/Bagong Hukbong Bayan,New People's Army (NPA),529.0,Male,1951.0,,0.0,"Marikina, Philippines",,35.0,Unclear,1.0,Obtained Bachelor's,Chemical Engineering and History,Engineering,History,0.0,0.0,1.0,,1.0,Christianity,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,Complete,27,1986.0-1988.0,57.0,1406,3.0,5.0,1986.0,1.0,1988.0,10.0,217.0,1010.0,1.0,2.0,1.0,0.0,2.0,2.0,189.0,115.0,66.0,36.0,0.0,0.0,0.0,1.0,0,0.0,7.0,2897.0,840.0,0.0,1.0,0.0,0.0,0.0,37.0
93,Congo Brazzaville,Sub-Saharan Africa,116.0,,,,,Bernard Kolelas,Bernard Kolelas,Bernard,Kolelas,,,Congo vs Ninjas,Ninjas,,,Male,1933.0,2009.0,1.0,"District of Kinkala, Republic of the Congo",59.0,60.0,Founded/Co-founded,0.0,Finished secondary,,,,0.0,0.0,1.0,,1.0,Christianity,,1.0,0.0,0.0,Career politician,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,Disease/natural causes,"Lari, French",0.0,0.0,Complete,322,1993.0-1999.0,4.0,2047,1.0,11.0,1993.0,11.0,1999.0,214.0,36.0,1399.0,1.0,1.0,0.0,1.0,2.0,1.0,63.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,66.0
94,Congo Brazzaville,Sub-Saharan Africa,117.0,,,,,Bernard Tandou,Bernard Tandou,Bernard,Tandou,,,Congo vs Ninjas,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,9,1999.0-1999.0,2.0,463,2.0,11.0,1999.0,12.0,1999.0,214.0,36.0,1399.0,1.0,1.0,0.0,1.0,2.0,1.0,63.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,
95,India,South Asia,210.0,,,,,Bijoy Kumar Hrangkhawl,Bijoy Kumar Hrangkhawl,Bijoy,Hrangkhawl,,,India vs TNV,Tripura National Volunteers,,,Male,1945.0,,,"Sarduk, India",31.0,34.0,Founded/Co-founded,0.0,,,,,0.0,0.0,1.0,,1.0,Christianity,,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,,,,1.0,0.0,,"English, Mizo",1.0,0.0,Complete,25,1979.0-1988.0,55.0,840,1.0,7.0,1979.0,8.0,1988.0,139.0,515.0,1148.0,0.0,1.0,0.0,0.0,1.0,2.0,137.0,111.0,21.0,17.0,0.0,0.0,0.0,0.0,0,2.0,7.0,1124.0,750.0,0.0,1.0,0.0,0.0,0.0,43.0
96,India,South Asia,200.0,,,,,Biswamohan Debbarma,Biswamohan Debbarma,Biswamohan,Debbarma,D Baithang,,India vs NLFT,National Liberation Front of Tripura (NLFT),,104.0,Male,1968.0,,0.0,"Sumantapara, Champahawar, Khowai, West Tripura, India",33.0,33.0,Founded/Co-founded,0.0,,,,,,,1.0,24.0,1.0,Christianity,,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,,,,,0.0,,,,,"Bengali, Kokborok",0.0,0.0,Incomplete,25,2001.0-2006.0,57.0,780,2.0,2.0,2001.0,12.0,2006.0,139.0,269.0,1150.0,0.0,1.0,0.0,0.0,1.0,1.0,43.0,26.0,11.0,5.0,0.0,0.0,0.0,1.0,0,3.0,7.0,2686.0,750.0,0.0,1.0,0.0,0.0,0.0,38.0
97,Burkina Faso,Sub-Saharan Africa,50.0,,,,,Blaise Compaoré,Blaise Compaoré,Blaise,Compaoré,,,Burkina Faso vs Popular Front,,,,Male,1951.0,,,"Ouagodoudou, Burkina Faso",32.0,36.0,Seized power,0.0,Obtained Bachelor's,Military,Military,,0.0,0.0,1.0,34.0,1.0,,,1.0,0.0,0.0,Military,1.0,0.0,1.0,1.0,0.0,1.0,4.0,Bachelor's,Cameroon,1.0,0.0,2.0,0.0,0.0,,"Mossi, French",0.0,0.0,Complete,2610,1987.0-1987.0,1.0,203,1.0,10.0,1987.0,10.0,1987.0,165.0,487.0,1369.0,1.0,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,630.0,439.0,1.0,0.0,0.0,0.0,0.0,36.0
98,Comoros,Sub-Saharan Africa,112.0,,,,,Gilbert Bourgeau,Bob Denard,Bob,Denard,Bob Denard,Robert Denard; Saïd Mustapha Mhadjou,Comoros vs Presidential Guard,Presidential Guard,,,Male,1929.0,,0.0,"Bordeaux, France",49.0,60.0,Seized power,0.0,,,,,,,1.0,,1.0,Islam,0.0,0.0,0.0,0.0,Police,1.0,1.0,1.0,0.0,0.0,,,,,,1.0,,1.0,0.0,,French,0.0,0.0,Complete,453,1989.0-1989.0,1.0,455,1.0,11.0,1989.0,11.0,1989.0,167.0,158.0,1370.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1371.0,581.0,1.0,0.0,0.0,0.0,0.0,60.0
99,Chad,Sub-Saharan Africa,89.0,,,,,Boda Maldoun,Boda Maldoun,Boda,Maldoun,,,Chad vs Mosanat,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,Incomplete,3,1989.0-1989.0,1.0,334,1.0,3.0,1989.0,12.0,1989.0,91.0,19.0,1290.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-3.0,1079.0,483.0,1.0,0.0,0.0,0.0,0.0,
100,Democratic Republic of Congo,Sub-Saharan Africa,127.0,,,,,Bosco Ntaganda,Bosco Ntaganda,Bosco,Ntaganda,,,DRC vs CNDP,National Congress for the Defence of the People,CNDP,,Male,1973.0,,0.0,Rwanda,33.0,36.0,Seized power,0.0,Finished primary,,,,0.0,0.0,1.0,,1.0,Christianity,0.0,0.0,0.0,0.0,Military,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,"Kinyarwanda, French",0.0,0.0,Complete,1110,2009.0-2009.0,0.0,490,2.0,1.0,2009.0,3.0,2009.0,86.0,646.0,1272.0,1.0,,,,,,0.0,0.0,0.0,0.0,,,,,0,0.0,4.0,259.0,490.0,1.0,0.0,0.0,0.0,0.0,36.0
101,Congo Brazzaville,Sub-Saharan Africa,114.0,,,,,Boutsi Moukoko,Boutsi Moukoko,Boutsi,Moukoko,,,Congo vs Cocoyes,Cocoyes,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,0,1999.0-1999.0,3.0,457,2.0,11.0,1999.0,12.0,1999.0,214.0,37.0,1400.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,
102,Pakistan,South Asia,353.0,,,,,Brahamdagh Bugti,Brahamdagh Bugti,Brahamdagh,Bugti,,,Pakistan vs BLA,Balochi Liberation Army (BLA),"BLA, BRA",83.0,Male,1982.0,,0.0,"Dera  Bugti  District, Balochistan Province, Pakistan",25.0,25.0,Unclear,0.0,,,,,,,1.0,,1.0,Islam,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,"Balochi, Urdu, English",1.0,0.0,Complete,67,2007.0-2011.0,33.0,1327,2.0,11.0,2007.0,12.0,2009.0,129.0,639.0,1129.0,0.0,1.0,0.0,0.0,1.0,2.0,37.0,20.0,45.0,21.0,0.0,,0.0,1.0,0,0.0,4.0,2423.0,770.0,0.0,1.0,0.0,0.0,0.0,27.0
103,Afghanistan,Central Asia,11.0,,,,,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin,Rabbani,,,Afghanistan vs Jamiat-i-Islami,Jamiat-i-Islami,,,Male,1940.0,2011.0,1.0,"Faizabad, Province of Badakhshan, Afghanistan",28.0,56.0,Appointed/Designated,0.0,Obtained Master's,Islamic Philosophy,Religion,,0.0,0.0,1.0,,1.0,Islam,1.0,0.0,0.0,0.0,Education,0.0,1.0,1.0,1.0,1.0,1.0,2.0,Master's,Egypt,0.0,0.0,2.0,0.0,0.0,Assassinated by rival group,"Farsi, Pashto, Dari",0.0,0.0,Complete,2210,1979.0-2001.0,83.0,1939,1.0,9.0,1996.0,4.0,1992.0,137.0,411.0,1134.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,-3.0,765.0,700.0,0.0,1.0,0.0,0.0,0.0,52.0
104,Haiti,Central America,184.0,,,,,Buteur Metayer,Buteur Metayer,Buteur,Metayer,,,Haiti vs FLRN,,,,Male,1970.0,2005.0,1.0,,33.0,34.0,Appointed/Designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,14,2004.0-2004.0,1.0,724,1.0,1.0,2004.0,2.0,2004.0,186.0,440.0,1626.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,931.0,41.0,0.0,0.0,0.0,0.0,1.0,34.0
105,Turkey,Middle East,454.0,,,,,Cafer Cangoz,Cafer Cangoz,Cafer,Cangoz,,,Turkey vs MKP,,,,Male,1957.0,2005.0,1.0,"Akpazar  Nahiyesi, Kizilcik  Village, Mazgirt  District, Dersim,  Turkey",45.0,48.0,Appointed/Designated,0.0,Finished secondary,,,,0.0,0.0,0.0,,0.0,Islam,,0.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,Assassinated by government,"Kurdish, Turkish",0.0,0.0,Complete,16,2005.0-2005.0,1.0,1741,1.0,1.0,2005.0,7.0,2005.0,188.0,457.0,1178.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,11116.0,640.0,0.0,0.0,0.0,1.0,0.0,48.0
106,Colombia,South America,108.0,,,,,Carlos Pizarro Leon-Gómez,Carlos Leon-Gómez,Carlos,Leon-Gómez,,,Colombia vs M-19,Movimiento 19 de Abril (M-19),M-19,19.0,Male,1951.0,1990.0,1.0,"Cartagena, Colombia",35.0,35.0,Unclear,0.0,Obtained Bachelor's,Law,Law,,0.0,0.0,1.0,,1.0,Christianity,1.0,1.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,Assassinated by rival group,Spanish,0.0,0.0,Complete,5950,1986.0-1989.0,30.0,438,4.0,3.0,1986.0,11.0,1989.0,92.0,495.0,1606.0,1.0,1.0,0.0,0.0,1.0,2.0,106.0,102.0,51.0,30.0,0.0,1.0,0.0,1.0,0,0.0,6.0,6249.0,100.0,0.0,0.0,0.0,0.0,1.0,38.0
107,Myanmar,South-Eastern Asia,327.0,,,,,Char Ui,Char Ui,Char,Ui,,,Myanmar vs LNUP,The Lahu National United Party,LNUP,,Male,1935.0,,0.0,"Loi Kham Long Area Near Möng Tun, Southern Shan State, British Burma",45.0,45.0,Unclear,0.0,,,,,,,,,,Other,1.0,0.0,0.0,0.0,Military,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Lahu,0.0,0.0,Complete,1570,1980.0-1981.0,17.0,1234,2.0,7.0,1980.0,12.0,1981.0,265.0,797.0,1756.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,-4.0,855.0,775.0,0.0,1.0,0.0,0.0,0.0,46.0
108,Central African Republic,Sub-Saharan Africa,65.0,,,,,Charles Massi,Charles Massi,Charles,Massi,,,Central African Republic vs CPJP,Convention of Patriots for Justice and Peace,CPJP,,Male,1952.0,2010.0,1.0,"Baboua, Central African Republic",57.0,57.0,Unclear,0.0,Obtained Doctorate,Medicine,Medicine,,0.0,1.0,1.0,,0.0,Christianity,,1.0,0.0,0.0,Career politician,1.0,0.0,0.0,1.0,1.0,1.0,6.0,Doctorate,France,1.0,0.0,3.0,0.0,0.0,Executed,French,0.0,0.0,Complete,6620,2009.0-2010.0,3.0,286,1.0,6.0,2009.0,1.0,2010.0,222.0,782.0,1937.0,1.0,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,-1.0,602.0,482.0,1.0,0.0,0.0,0.0,0.0,58.0
109,Liberia,Sub-Saharan Africa,287.0,,,,,Charles McArthur Ghankay Taylor,Charles Taylor,Charles,Taylor,,,Liberia vs NPLF,,,,Male,1948.0,,,Liberia,41.0,41.0,Founded/Co-founded,0.0,Obtained Bachelor's,Economics,Economics,,1.0,1.0,1.0,,1.0,Christianity,1.0,1.0,0.0,0.0,Career politician,0.0,1.0,1.0,1.0,1.0,1.0,4.0,Bachelor's,United States of America,1.0,1.0,4.0,1.0,,,English,1.0,0.0,Complete,27000,1989.0-1996.0,3.0,1097,1.0,12.0,1989.0,8.0,1996.0,146.0,93.0,1358.0,1.0,1.0,1.0,0.0,5.0,2.0,50.0,48.0,6.0,4.0,0.0,1.0,0.0,1.0,0,0.0,0.0,133.0,450.0,1.0,0.0,0.0,0.0,0.0,48.0
110,Malaysia,South-Eastern Asia,526.0,,,,,Chin Peng,Chin Peng,Chin,Peng,,,Malaysia vs CPM,The Communist Party of Malaya (CPM),The Communist Party of Malaya,,Male,1924.0,2013.0,1.0,"Perak, Federated Malay States, British Malaya",24.0,57.0,Appointed/Designated,0.0,No/incomplete primary,,,,0.0,0.0,1.0,21.0,1.0,,0.0,1.0,0.0,0.0,Career politician,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,,0.0,0.0,Disease/natural causes,"Four Chinese Dialects, Bahasa Melayu, English",1.0,0.0,Complete,12100,1981.0-1981.0,1.0,2059,1.0,1.0,1981.0,10.0,1981.0,64.0,585.0,1038.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,4.0,6434.0,820.0,0.0,1.0,0.0,0.0,0.0,57.0
111,Burundi,Sub-Saharan Africa,57.0,,,,,Cossan Kabura,Cossan Kabura,Cossan,Kabura,,Kossan Kabura,Burundi vs Palipehutu-FNL,Palipehutu-FNL,,,Male,,,0.0,Burundi,,,Founded/Co-founded,0.0,,,,,,,0.0,,0.0,Christianity,,1.0,0.0,0.0,Business/entrepeneurship,,1.0,1.0,0.0,0.0,,,,,1.0,0.0,,0.0,0.0,,Kirundi,0.0,0.0,Complete,38,1997.0-2001.0,15.0,236,1.0,3.0,1997.0,2.0,2001.0,90.0,15.0,1278.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,473.0,516.0,1.0,0.0,0.0,0.0,0.0,
112,Central African Republic,Sub-Saharan Africa,68.0,,General,,,Moustapha Maloum,Damane Zakaria,Damane,Zakaria,Damane Zakaria,,Central African Republic vs UFDR,,,,Male,,2008.0,1.0,"Boromata, Vakaga Prefecture of Central African Republic",,,Unclear,1.0,,,,,,,,,,,,,0.0,0.0,Other,,,,,,,,,,,,,,,KIA,French,0.0,0.0,Incomplete,3670,2006.0-2007.0,1.0,291,2.0,11.0,2006.0,4.0,2007.0,222.0,628.0,1408.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,591.0,482.0,1.0,0.0,0.0,0.0,0.0,
113,Ethiopia,Sub-Saharan Africa,149.0,,,,,Dawud Ibsa Ayana,Dawud Ibsa Ayana,Dawud,Ayana,,,Ethiopia vs OLF,Adda Bilisummaa Oromoo (ABO)/Oromo Liberation Front (OLF),OLF,167.0,Male,1952.0,,,"Abuna village, Horro Guduru District, Wolega Province, Ethiopia",47.0,47.0,Elected,0.0,Obtained Bachelor's,Statistics,Math,,0.0,0.0,,,,,,1.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,2.0,1.0,1.0,,Amharic,0.0,0.0,Complete,24,1999.0-2011.0,130.0,588,4.0,12.0,1999.0,12.0,2011.0,219.0,55.0,1404.0,0.0,1.0,1.0,1.0,2.0,2.0,12.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0,0.0,-3.0,795.0,530.0,1.0,0.0,0.0,0.0,0.0,59.0
114,Congo Brazzaville,Sub-Saharan Africa,113.0,,,,,Denis Sassou-Nguessou,Denis Sassou-Nguessou,Denis,Sassou-Nguessou,,,Congo vs Cobras,Cobras,,,Male,1943.0,,0.0,"Edou, Republic of the Congo",49.0,54.0,Founded/Co-founded,0.0,Finished secondary,,,,0.0,0.0,1.0,,1.0,Christianity,0.0,1.0,0.0,0.0,Career politician,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,"Mbochi, French",0.0,0.0,Complete,42,1997.0-1997.0,1.0,456,1.0,6.0,1997.0,10.0,1997.0,214.0,189.0,1398.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2271.0,484.0,1.0,0.0,0.0,0.0,0.0,54.0
116,Algeria,Northern Africa,20.0,,,,,Djamel Zitouni,Djamel Zitouni,Djamel,Zitouni,,Jamal Zaytuni,Algeria vs GIA,Group Islamique Armé (GIA),Armed Islamic Group,34.0,Male,1964.0,1996.0,1.0,"Saoula, Algeria",30.0,30.0,Seized power,0.0,Finished secondary,,,,0.0,0.0,,,,Islam,0.0,1.0,0.0,0.0,Other,0.0,1.0,1.0,0.0,,,,,,0.0,0.0,,0.0,,KIA,French,0.0,0.0,Complete,215,1994.0-1996.0,9.0,94,4.0,9.0,1994.0,7.0,1996.0,191.0,3.0,1390.0,1.0,2.0,0.0,0.0,1.0,1.0,126.0,104.0,33.0,20.0,1.0,0.0,1.0,1.0,1,0.0,-3.0,3739.0,615.0,0.0,0.0,0.0,1.0,0.0,32.0
117,Bosnia,Europe,46.0,,,,,Dobroslav Paraga,Dobroslav Paraga,Dobroslav,Paraga,,,Bosnia vs HOS,Croatian Defence Forces,,,Male,1960.0,,0.0,"Zagreb, Croatia (Former Yugoslavia)",31.0,33.0,Founded/Co-founded,0.0,Obtained Bachelor's,Law,Law,,0.0,0.0,1.0,,1.0,Christianity,,1.0,0.0,0.0,Military,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,Croatian,0.0,0.0,Complete,127,1993.0-1993.0,1.0,195,1.0,4.0,1993.0,9.0,1993.0,203.0,301.0,1213.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1101.0,346.0,0.0,0.0,1.0,0.0,0.0,33.0
118,Russia,Eastern Europe,384.0,,,,,Dokka Umarov,Dokka Umarov,Dokka,Umarov,,,Russia vs Caucasus Emirate,Imarat Kavkaz,"Caucasus Emirate, ChRI",85.0,Male,1964.0,2013.0,1.0,"Kharsenoy, Russia (Former USSR)",43.0,43.0,Appointed/Designated,0.0,Obtained Bachelor's,Civil Engineering,Engineering,,0.0,0.0,1.0,,1.0,Islam,,0.0,0.0,0.0,Engineering,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Assassinated by government,"Chechen, Russian",0.0,0.0,Complete,669,2006.0-2011.0,32.0,1479,1.0,10.0,2007.0,12.0,2007.0,257.0,773.0,1210.0,0.0,1.0,1.0,1.0,2.0,1.0,156.0,125.0,16.0,11.0,0.0,0.0,1.0,1.0,1,1.0,3.0,15726.0,365.0,0.0,0.0,1.0,0.0,0.0,43.0
119,Spain,Europe,423.0,,,,,Domingo Iturbe Abasolo,Txomin Iturbe,Txomin,Iturbe,Txomin,,Spain vs ETA,Euskadi ta Askatasuna (ETA)/Batasuna,Basque Homeland and Freedom,6.0,Male,1944.0,1987.0,1.0,"Mondragon, Spain",32.0,34.0,Unclear,0.0,,,,,,,1.0,,1.0,Christianity,,0.0,0.0,0.0,Laborer,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,Accident,"Spanish, Basque, French, Basque, Spanish",0.0,0.0,Complete,52,1978.0-1987.0,21.0,2029,1.0,10.0,1978.0,3.0,1987.0,147.0,366.0,1156.0,0.0,1.0,0.0,1.0,1.0,3.0,70.0,51.0,343.0,150.0,0.0,0.0,0.0,1.0,0,0.0,7.0,12690.0,230.0,0.0,0.0,1.0,0.0,0.0,43.0
120,Turkey,Middle East,453.0,,,,,Dursun Karatas,Dursun Karatas,Dursun,Karatas,,,Turkey vs Dev Sol,Devrimci Sol,DEV-SOL,31.0,Male,1952.0,2008.0,1.0,Cevizdere village of Elazig in Turkey,26.0,39.0,Founded/Co-founded,0.0,Obtained Bachelor's,Technical School Area,Vocational Training,,0.0,0.0,1.0,999.0,,Islam,,0.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Disease/natural causes,Turkish,0.0,0.0,Complete,1590,1991.0-1992.0,3.0,1740,1.0,7.0,1991.0,12.0,1992.0,188.0,330.0,1177.0,1.0,1.0,0.0,0.0,1.0,3.0,8.0,5.0,74.0,17.0,0.0,0.0,0.0,1.0,0,0.0,7.0,8779.0,640.0,0.0,0.0,0.0,1.0,0.0,40.0
121,Russia,Eastern Europe,388.0,,,,,Dzhokhar Dudayev,Dzhokhar Dudayev,Dzhokhar,Dudayev,,,Russia vs ChRI,Chechen Republic of Ichkeria,ChRI,,Male,1944.0,1996.0,1.0,"Yalhoroy, Russia, USSR, Ingush Autonomous District",47.0,50.0,Elected,0.0,Obtained Bachelor's,"Military Engineering, Military Aviation",Military,Engineering,0.0,0.0,1.0,,1.0,Islam,0.0,1.0,0.0,0.0,Military,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Assassinated by government,"Chechen, Russian",0.0,0.0,Complete,1270,1994.0-1996.0,6.0,1482,1.0,11.0,1994.0,4.0,1996.0,206.0,348.0,1195.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,8755.0,365.0,0.0,0.0,1.0,0.0,0.0,52.0
123,Georgia,Middle East,168.0,,,,,Eduard Kokoyty,Eduard Kokoyty,Eamon,Doherty,,,Georgia vs Republic of South Ossetia,Republic of South Ossetia,,,Male,1964.0,,0.0,"Tskhivali, Georgia (Former USSR)",37.0,44.0,Elected,0.0,,,,,,,1.0,,0.0,Christianity,,1.0,0.0,0.0,Business/entrepeneurship,0.0,1.0,,0.0,0.0,,,,,,1.0,,0.0,0.0,,Russian,0.0,0.0,Complete,377,2004.0-2008.0,2.0,2038,1.0,8.0,2008.0,8.0,2004.0,198.0,297.0,1186.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,5.0,3974.0,372.0,0.0,0.0,1.0,0.0,0.0,40.0
124,Ghana,Sub-Saharan Africa,172.0,,,,,Edward Adjei-Ampofo,Edward Adjei-Ampofo,Edward,Adjei-Ampofo,,,Ghana vs Dennis and Adjei,Unnamed Forces,,,Male,,,,,,,Founded/Co-founded,1.0,,,,,,,,,,,,,0.0,0.0,Sciences,1.0,,,,0.0,,,,,,,,0.0,,,,,,Incomplete,23,1983.0-1983.0,1.0,661,1.0,6.0,1983.0,6.0,1983.0,98.0,504.0,1305.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1168.0,452.0,1.0,0.0,0.0,0.0,0.0,
125,Ghana,Sub-Saharan Africa,173.0,,,,,Solomon Ekow-Dennis,Ekow Dennis,Ekow,Dennis,,,Ghana vs Dennis and Adjei,Unnamed Forces,,,Male,,,,,,,Founded/Co-founded,1.0,,,,,,,,,,,,,0.0,0.0,Sciences,1.0,,,,,,,,,,,,,,,,,,Incomplete,118,1983.0-1983.0,1.0,662,1.0,6.0,1983.0,6.0,1983.0,98.0,504.0,1305.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1168.0,452.0,1.0,0.0,0.0,0.0,0.0,
127,Lebanon,Middle East,280.0,,,,,Elie Hobeika,Elie Hobeika,Elie,Hobeika,HK,,Lebanon vs LF-HF,Lebanese Forces-Hobeika,LF-H,58.0,Male,1956.0,2002.0,1.0,"Qleiaat, Lebanon",30.0,30.0,Seized power,0.0,,,,,,,1.0,25.0,1.0,Christianity,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Assassinated by external state,"Arabic, English, French",1.0,0.0,Complete,391,1986.0-1986.0,1.0,1077,1.0,1.0,1986.0,12.0,1986.0,63.0,726.0,1083.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3.0,5973.0,660.0,0.0,0.0,0.0,1.0,0.0,30.0
