leadercode,rolecode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,stname,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas,last_dynamicage
87,308.0,none,none,none,none,Aung Thaik Hym,Aung Thaik,Aung,Thaik,none,none,Myanmar,Myanmar vs BMA,Beik Mon Army,BMA,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,Unclear,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,28,1996.0-1997.0,1.0,1152,1.0,12.0,1996.0,5.0,1997.0,26.0,326.0,1033.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,-3.0,1448.0,775.0,0.0,1.0,0.0,0.0,0.0,NaN
88,476.0,Doctor,none,none,none,Ayman Mohammed Rabie al-Zawahiri,Ayman al-Zawahiri,Ayman,al-Zawahiri,none,none,United States,USA vs Al Qaeda,al-Qaeda,AQ,431.0,Male,1951.0,NaN,0.0,"Maʿādī, Egypt",58.0,60.0,Appointed/Designated,0.0,Obtained Doctorate,Medicine (Surgery),Medicine,none,0.0,0.0,1.0,999.0,1.0,Islam,1.0,1.0,0.0,0.0,Medicine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,1.0,none,"Arabic, English, French",1.0,0.0,Complete,8660,2011.0-2011.0,11.0,1857,2.0,6.0,2011.0,12.0,2011.0,224.0,360.0,1630.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN,1,6.0,7.0,42140.0,2.0,0.0,0.0,0.0,0.0,1.0,60.0
89,391.0,none,none,Sheik,none,Bagauddin Magomedov,Bagauddin Magomedov,Bagauddin,Magomedov,Bagauddin Kevedov,none,Russia,Russia vs Wahhabis,NaN,none,NaN,Male,1945.0,NaN,0.0,"Village of Pervomayskoe, Russia (Former USSR)",45.0,54.0,Unclear,0.0,Finished primary,Salafism,Religion,none,0.0,0.0,0.0,NaN,0.0,Islam,0.0,0.0,0.0,0.0,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,"Avar, Arabic",0.0,0.0,Complete,5,1999.0-1999.0,1.0,1485,1.0,8.0,1999.0,9.0,1999.0,220.0,368.0,1201.0,0.0,1.0,1.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,1.0,7458.0,365.0,0.0,0.0,1.0,0.0,0.0,54.0
90,358.0,none,none,none,Emir,Baitullah Mehsud,Baitullah Mehsud,Baitullah,Mehsud,none,none,Pakistan,Pakistan vs TTP,Mehsud Organization/Tehrik-e Taliban,Pakistani Taliban,442.0,Male,1973.0,2009.0,1.0,"Near the Town of Bannu, Pakistan",33.0,35.0,Founded/Co-founded,0.0,Finished primary,Islam,Religion,none,0.0,0.0,1.0,34.0,1.0,Islam,0.0,0.0,1.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,Assassinated by external state,"Pashto, Urdu, English",1.0,0.0,Complete,1510,2008.0-2009.0,3.0,1333,1.0,1.0,2008.0,8.0,2009.0,209.0,768.0,1199.0,1.0,2.0,0.0,1.0,3.0,NaN,619.0,444.0,180.0,110.0,0.0,NaN,1.0,1.0,1,0.0,4.0,2423.0,770.0,0.0,1.0,0.0,0.0,0.0,36.0
91,337.0,none,none,none,none,Bao Youxiang,Bao Youxiang,Bao,Youxiang,Pao Yuchang,none,Myanmar,Myanmar vs UWSA,The United Wa State Army,UWSA,NaN,Male,1949.0,NaN,0.0,"Kunma, Northern Wa Nillage Near Gawng Lang, Burma",46.0,48.0,Appointed/Designated,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,0.0,Activist,0.0,1.0,NaN,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,Wa,0.0,0.0,Complete,65,1997.0-1997.0,1.0,1278,1.0,3.0,1997.0,12.0,1997.0,228.0,321.0,1207.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,-3.0,1448.0,775.0,0.0,1.0,0.0,0.0,0.0,48.0
92,372.0,none,none,none,none,Benito Tiamzon,Benito Tiamzon,Benito,Tiamzon,none,none,Philippines,Philippines vs CPP (NPA),Communist Party of the Philippines (CPP)/Bagong Hukbong Bayan,New People's Army (NPA),529.0,Male,1951.0,NaN,0.0,"Marikina, Philippines",NaN,35.0,Unclear,1.0,Obtained Bachelor's,Chemical Engineering and History,Engineering,History,0.0,0.0,1.0,NaN,1.0,Christianity,NaN,1.0,0.0,0.0,none,0.0,0.0,NaN,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,NaN,none,none,NaN,NaN,Complete,27,1986.0-1988.0,57.0,1406,3.0,5.0,1986.0,1.0,1988.0,10.0,217.0,1010.0,1.0,2.0,1.0,0.0,2.0,2.0,189.0,115.0,66.0,36.0,0.0,0.0,0.0,1.0,0,0.0,7.0,2897.0,840.0,0.0,1.0,0.0,0.0,0.0,37.0
93,116.0,none,none,none,none,Bernard Kolelas,Bernard Kolelas,Bernard,Kolelas,none,none,Congo Brazzaville,Congo vs Ninjas,Ninjas,none,NaN,Male,1933.0,2009.0,1.0,"District of Kinkala, Republic of the Congo",59.0,60.0,Founded/Co-founded,0.0,Finished secondary,none,none,none,0.0,0.0,1.0,NaN,1.0,Christianity,NaN,1.0,0.0,0.0,Career politician,0.0,1.0,0.0,1.0,1.0,0.0,0.0,none,none,0.0,0.0,1.0,1.0,0.0,Disease/natural causes,"Lari, French",0.0,0.0,Complete,322,1993.0-1999.0,4.0,2047,1.0,11.0,1993.0,11.0,1999.0,214.0,36.0,1399.0,1.0,1.0,0.0,1.0,2.0,1.0,63.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,66.0
94,117.0,none,none,none,none,Bernard Tandou,Bernard Tandou,Bernard,Tandou,none,none,Congo Brazzaville,Congo vs Ninjas,NaN,none,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,9,1999.0-1999.0,2.0,463,2.0,11.0,1999.0,12.0,1999.0,214.0,36.0,1399.0,1.0,1.0,0.0,1.0,2.0,1.0,63.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,NaN
95,210.0,none,none,none,none,Bijoy Kumar Hrangkhawl,Bijoy Kumar Hrangkhawl,Bijoy,Hrangkhawl,none,none,India,India vs TNV,Tripura National Volunteers,none,NaN,Male,1945.0,NaN,NaN,"Sarduk, India",31.0,34.0,Founded/Co-founded,0.0,none,none,none,none,0.0,0.0,1.0,NaN,1.0,Christianity,NaN,1.0,0.0,0.0,none,0.0,1.0,NaN,0.0,NaN,NaN,NaN,none,none,NaN,NaN,NaN,1.0,0.0,none,"English, Mizo",1.0,0.0,Complete,25,1979.0-1988.0,55.0,840,1.0,7.0,1979.0,8.0,1988.0,139.0,515.0,1148.0,0.0,1.0,0.0,0.0,1.0,2.0,137.0,111.0,21.0,17.0,0.0,0.0,0.0,0.0,0,2.0,7.0,1124.0,750.0,0.0,1.0,0.0,0.0,0.0,43.0
96,200.0,none,none,none,none,Biswamohan Debbarma,Biswamohan Debbarma,Biswamohan,Debbarma,D Baithang,none,India,India vs NLFT,National Liberation Front of Tripura (NLFT),none,104.0,Male,1968.0,NaN,0.0,"Sumantapara, Champahawar, Khowai, West Tripura, India",33.0,33.0,Founded/Co-founded,0.0,none,none,none,none,NaN,NaN,1.0,24.0,1.0,Christianity,NaN,1.0,0.0,0.0,none,0.0,1.0,NaN,0.0,0.0,NaN,NaN,none,none,NaN,0.0,NaN,NaN,NaN,none,"Bengali, Kokborok",0.0,0.0,Incomplete,25,2001.0-2006.0,57.0,780,2.0,2.0,2001.0,12.0,2006.0,139.0,269.0,1150.0,0.0,1.0,0.0,0.0,1.0,1.0,43.0,26.0,11.0,5.0,0.0,0.0,0.0,1.0,0,3.0,7.0,2686.0,750.0,0.0,1.0,0.0,0.0,0.0,38.0
97,50.0,none,none,none,none,Blaise Compaoré,Blaise Compaoré,Blaise,Compaoré,none,none,Burkina Faso,Burkina Faso vs Popular Front,NaN,none,NaN,Male,1951.0,NaN,NaN,"Ouagodoudou, Burkina Faso",32.0,36.0,Seized power,0.0,Obtained Bachelor's,Military,Military,none,0.0,0.0,1.0,34.0,1.0,NaN,NaN,1.0,0.0,0.0,Military,1.0,0.0,1.0,1.0,0.0,1.0,4.0,Bachelor's,Cameroon,1.0,0.0,2.0,0.0,0.0,none,"Mossi, French",0.0,0.0,Complete,2610,1987.0-1987.0,1.0,203,1.0,10.0,1987.0,10.0,1987.0,165.0,487.0,1369.0,1.0,1.0,0.0,0.0,NaN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,630.0,439.0,1.0,0.0,0.0,0.0,0.0,36.0
98,112.0,none,none,none,none,Gilbert Bourgeau,Bob Denard,Bob,Denard,Bob Denard,Robert Denard; Saïd Mustapha Mhadjou,Comoros,Comoros vs Presidential Guard,Presidential Guard,none,NaN,Male,1929.0,NaN,0.0,"Bordeaux, France",49.0,60.0,Seized power,0.0,none,none,none,none,NaN,NaN,1.0,NaN,1.0,Islam,0.0,0.0,0.0,0.0,Police,1.0,1.0,1.0,0.0,0.0,NaN,NaN,none,none,NaN,1.0,NaN,1.0,0.0,none,French,0.0,0.0,Complete,453,1989.0-1989.0,1.0,455,1.0,11.0,1989.0,11.0,1989.0,167.0,158.0,1370.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1371.0,581.0,1.0,0.0,0.0,0.0,0.0,60.0
99,89.0,none,none,none,none,Boda Maldoun,Boda Maldoun,Boda,Maldoun,none,none,Chad,Chad vs Mosanat,NaN,none,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,1.0,NaN,NaN,1.0,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,3,1989.0-1989.0,1.0,334,1.0,3.0,1989.0,12.0,1989.0,91.0,19.0,1290.0,1.0,1.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-3.0,1079.0,483.0,1.0,0.0,0.0,0.0,0.0,NaN
100,127.0,none,none,none,none,Bosco Ntaganda,Bosco Ntaganda,Bosco,Ntaganda,none,none,Democratic Republic of Congo,DRC vs CNDP,National Congress for the Defence of the People,CNDP,NaN,Male,1973.0,NaN,0.0,Rwanda,33.0,36.0,Seized power,0.0,Finished primary,none,none,none,0.0,0.0,1.0,NaN,1.0,Christianity,0.0,0.0,0.0,0.0,Military,1.0,1.0,1.0,0.0,1.0,0.0,0.0,none,none,0.0,0.0,1.0,0.0,0.0,none,"Kinyarwanda, French",0.0,0.0,Complete,1110,2009.0-2009.0,0.0,490,2.0,1.0,2009.0,3.0,2009.0,86.0,646.0,1272.0,1.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,4.0,259.0,490.0,1.0,0.0,0.0,0.0,0.0,36.0
101,114.0,none,none,none,none,Boutsi Moukoko,Boutsi Moukoko,Boutsi,Moukoko,none,none,Congo Brazzaville,Congo vs Cocoyes,Cocoyes,none,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,0,1999.0-1999.0,3.0,457,2.0,11.0,1999.0,12.0,1999.0,214.0,37.0,1400.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3.0,2201.0,484.0,1.0,0.0,0.0,0.0,0.0,NaN
102,353.0,none,none,none,none,Brahamdagh Bugti,Brahamdagh Bugti,Brahamdagh,Bugti,none,none,Pakistan,Pakistan vs BLA,Balochi Liberation Army (BLA),"BLA, BRA",83.0,Male,1982.0,NaN,0.0,"Dera  Bugti  District, Balochistan Province, Pakistan",25.0,25.0,"Unclear, Appointed/Designated",0.0,none,none,none,none,NaN,NaN,1.0,NaN,1.0,Islam,1.0,0.0,0.0,0.0,none,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,"Balochi, Urdu, English",1.0,0.0,Complete,67,2007.0-2011.0,33.0,1327,2.0,11.0,2007.0,12.0,2009.0,129.0,639.0,1129.0,0.0,1.0,0.0,0.0,1.0,2.0,37.0,20.0,45.0,21.0,0.0,NaN,0.0,1.0,0,0.0,4.0,2423.0,770.0,0.0,1.0,0.0,0.0,0.0,27.0
103,11.0,none,none,none,none,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin,Rabbani,none,none,Afghanistan,Afghanistan vs Jamiat-i-Islami,Jamiat-i-Islami,none,NaN,Male,1940.0,2011.0,1.0,"Faizabad, Province of Badakhshan, Afghanistan",28.0,56.0,Appointed/Designated,0.0,Obtained Master's,Islamic Philosophy,Religion,none,0.0,0.0,1.0,NaN,1.0,Islam,1.0,0.0,0.0,0.0,Education,0.0,1.0,1.0,1.0,1.0,1.0,2.0,Master's,Egypt,0.0,0.0,2.0,0.0,0.0,Assassinated by rival group,"Farsi, Pashto, Dari",0.0,0.0,Complete,2210,1979.0-2001.0,83.0,1939,1.0,9.0,1996.0,4.0,1992.0,137.0,411.0,1134.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,-3.0,765.0,700.0,0.0,1.0,0.0,0.0,0.0,52.0
104,184.0,none,none,none,none,Buteur Metayer,Buteur Metayer,Buteur,Metayer,none,none,Haiti,Haiti vs FLRN,NaN,none,NaN,Male,1970.0,2005.0,1.0,NaN,33.0,34.0,Appointed/Designated,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,14,2004.0-2004.0,1.0,724,1.0,1.0,2004.0,2.0,2004.0,186.0,440.0,1626.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,931.0,41.0,0.0,0.0,0.0,0.0,1.0,34.0
105,454.0,none,none,none,none,Cafer Cangoz,Cafer Cangoz,Cafer,Cangoz,none,none,Turkey,Turkey vs MKP,NaN,none,NaN,Male,1957.0,2005.0,1.0,"Akpazar  Nahiyesi, Kizilcik  Village, Mazgirt  District, Dersim,  Turkey",45.0,48.0,Appointed/Designated,0.0,Finished secondary,none,none,none,0.0,0.0,0.0,NaN,0.0,Islam,NaN,0.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,0.0,Assassinated by government,"Kurdish, Turkish",0.0,0.0,Complete,16,2005.0-2005.0,1.0,1741,1.0,1.0,2005.0,7.0,2005.0,188.0,457.0,1178.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,11116.0,640.0,0.0,0.0,0.0,1.0,0.0,48.0
106,108.0,none,none,none,none,Carlos Pizarro Leon-Gómez,Carlos Leon-Gómez,Carlos,Leon-Gómez,none,none,Colombia,Colombia vs M-19,Movimiento 19 de Abril (M-19),M-19,19.0,Male,1951.0,1990.0,1.0,"Cartagena, Colombia",35.0,35.0,Unclear,0.0,Obtained Bachelor's,Law,Law,none,0.0,0.0,1.0,NaN,1.0,Christianity,1.0,1.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,0.0,Assassinated by rival group,Spanish,0.0,0.0,Complete,5950,1986.0-1989.0,30.0,438,4.0,3.0,1986.0,11.0,1989.0,92.0,495.0,1606.0,1.0,1.0,0.0,0.0,1.0,2.0,106.0,102.0,51.0,30.0,0.0,1.0,0.0,1.0,0,0.0,6.0,6249.0,100.0,0.0,0.0,0.0,0.0,1.0,38.0
107,327.0,none,none,none,none,Char Ui,Char Ui,Char,Ui,none,none,Myanmar,Myanmar vs LNUP,The Lahu National United Party,LNUP,NaN,Male,1935.0,NaN,0.0,"Loi Kham Long Area Near Möng Tun, Southern Shan State, British Burma",45.0,45.0,Unclear,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,Other,1.0,0.0,0.0,0.0,Military,0.0,0.0,NaN,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,Lahu,0.0,0.0,Complete,1570,1980.0-1981.0,17.0,1234,2.0,7.0,1980.0,12.0,1981.0,265.0,797.0,1756.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0,0.0,-4.0,855.0,775.0,0.0,1.0,0.0,0.0,0.0,46.0
108,65.0,none,none,none,none,Charles Massi,Charles Massi,Charles,Massi,none,none,Central African Republic,Central African Republic vs CPJP,Convention of Patriots for Justice and Peace,CPJP,NaN,Male,1952.0,2010.0,1.0,"Baboua, Central African Republic",57.0,57.0,Unclear,0.0,Obtained Doctorate,Medicine,Medicine,none,0.0,1.0,1.0,NaN,0.0,Christianity,NaN,1.0,0.0,0.0,Career politician,1.0,0.0,0.0,1.0,1.0,1.0,6.0,Doctorate,France,1.0,0.0,3.0,0.0,0.0,Executed,French,0.0,0.0,Complete,6620,2009.0-2010.0,3.0,286,1.0,6.0,2009.0,1.0,2010.0,222.0,782.0,1937.0,1.0,1.0,0.0,0.0,3.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0,0.0,-1.0,602.0,482.0,1.0,0.0,0.0,0.0,0.0,58.0
109,287.0,none,none,none,none,Charles McArthur Ghankay Taylor,Charles Taylor,Charles,Taylor,none,none,Liberia,Liberia vs NPLF,NaN,none,NaN,Male,1948.0,NaN,NaN,Liberia,41.0,41.0,Founded/Co-founded,0.0,Obtained Bachelor's,Economics,Economics,none,1.0,1.0,1.0,NaN,1.0,Christianity,1.0,1.0,0.0,0.0,Career politician,0.0,1.0,1.0,1.0,1.0,1.0,4.0,Bachelor's,United States of America,1.0,1.0,4.0,1.0,NaN,none,English,1.0,0.0,Complete,27000,1989.0-1996.0,3.0,1097,1.0,12.0,1989.0,8.0,1996.0,146.0,93.0,1358.0,1.0,1.0,1.0,0.0,5.0,2.0,50.0,48.0,6.0,4.0,0.0,1.0,0.0,1.0,0,0.0,0.0,133.0,450.0,1.0,0.0,0.0,0.0,0.0,48.0
110,526.0,none,none,none,none,Chin Peng,Chin Peng,Chin,Peng,none,none,Malaysia,Malaysia vs CPM,The Communist Party of Malaya (CPM),The Communist Party of Malaya,NaN,Male,1924.0,2013.0,1.0,"Perak, Federated Malay States, British Malaya",24.0,57.0,Appointed/Designated,0.0,No/incomplete primary,none,none,none,0.0,0.0,1.0,21.0,1.0,NaN,0.0,1.0,0.0,0.0,Career politician,0.0,1.0,1.0,0.0,0.0,0.0,0.0,none,none,NaN,1.0,NaN,0.0,0.0,Disease/natural causes,"Four Chinese Dialects, Bahasa Melayu, English",1.0,0.0,Complete,12100,1981.0-1981.0,1.0,2059,1.0,1.0,1981.0,10.0,1981.0,64.0,585.0,1038.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,4.0,6434.0,820.0,0.0,1.0,0.0,0.0,0.0,57.0
111,57.0,none,none,none,none,Cossan Kabura,Cossan Kabura,Cossan,Kabura,none,Kossan Kabura,Burundi,Burundi vs Palipehutu-FNL,Palipehutu-FNL,none,NaN,Male,NaN,NaN,0.0,Burundi,NaN,NaN,Founded/Co-founded,0.0,none,none,none,none,NaN,NaN,0.0,NaN,0.0,Christianity,NaN,1.0,0.0,0.0,Business/entrepeneurship,NaN,1.0,1.0,0.0,0.0,NaN,NaN,none,none,1.0,0.0,NaN,0.0,0.0,none,Kirundi,0.0,0.0,Complete,38,1997.0-2001.0,15.0,236,1.0,3.0,1997.0,2.0,2001.0,90.0,15.0,1278.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,473.0,516.0,1.0,0.0,0.0,0.0,0.0,NaN
112,68.0,none,General,none,none,Moustapha Maloum,Damane Zakaria,Damane,Zakaria,Damane Zakaria,none,Central African Republic,Central African Republic vs UFDR,NaN,none,NaN,Male,NaN,2008.0,1.0,"Boromata, Vakaga Prefecture of Central African Republic",NaN,NaN,Unclear,1.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,KIA,French,0.0,0.0,Incomplete,3670,2006.0-2007.0,1.0,291,2.0,11.0,2006.0,4.0,2007.0,222.0,628.0,1408.0,1.0,1.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,591.0,482.0,1.0,0.0,0.0,0.0,0.0,NaN
113,149.0,none,none,none,none,Dawud Ibsa Ayana,Dawud Ibsa Ayana,Dawud,Ayana,none,none,Ethiopia,Ethiopia vs OLF,Adda Bilisummaa Oromoo (ABO)/Oromo Liberation Front (OLF),OLF,167.0,Male,1952.0,NaN,NaN,"Abuna village, Horro Guduru District, Wolega Province, Ethiopia",47.0,47.0,Elected,0.0,Obtained Bachelor's,Statistics,Math,none,0.0,0.0,NaN,NaN,NaN,NaN,NaN,1.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,1.0,0.0,0.0,none,none,1.0,0.0,2.0,1.0,1.0,none,Amharic,0.0,0.0,Complete,24,1999.0-2011.0,130.0,588,4.0,12.0,1999.0,12.0,2011.0,219.0,55.0,1404.0,0.0,1.0,1.0,1.0,2.0,2.0,12.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0,0.0,-3.0,795.0,530.0,1.0,0.0,0.0,0.0,0.0,59.0
114,113.0,none,none,none,none,Denis Sassou-Nguessou,Denis Sassou-Nguessou,Denis,Sassou-Nguessou,none,none,Congo Brazzaville,Congo vs Cobras,Cobras,none,NaN,Male,1943.0,NaN,0.0,"Edou, Republic of the Congo",49.0,54.0,Founded/Co-founded,0.0,Finished secondary,none,none,none,0.0,0.0,1.0,NaN,1.0,Christianity,0.0,1.0,0.0,0.0,Career politician,1.0,0.0,0.0,1.0,0.0,0.0,0.0,none,none,1.0,0.0,1.0,0.0,0.0,none,"Mbochi, French",0.0,0.0,Complete,42,1997.0-1997.0,1.0,456,1.0,6.0,1997.0,10.0,1997.0,214.0,189.0,1398.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,2271.0,484.0,1.0,0.0,0.0,0.0,0.0,54.0
116,20.0,none,none,none,none,Djamel Zitouni,Djamel Zitouni,Djamel,Zitouni,none,Jamal Zaytuni,Algeria,Algeria vs GIA,Group Islamique Armé (GIA),Armed Islamic Group,34.0,Male,1964.0,1996.0,1.0,"Saoula, Algeria",30.0,30.0,Seized power,0.0,Finished secondary,none,none,none,0.0,0.0,NaN,NaN,NaN,Islam,0.0,1.0,0.0,0.0,Other,0.0,1.0,1.0,0.0,NaN,NaN,NaN,none,none,0.0,0.0,NaN,0.0,NaN,KIA,French,0.0,0.0,Complete,215,1994.0-1996.0,9.0,94,4.0,9.0,1994.0,7.0,1996.0,191.0,3.0,1390.0,1.0,2.0,0.0,0.0,1.0,1.0,126.0,104.0,33.0,20.0,1.0,0.0,1.0,1.0,1,0.0,-3.0,3739.0,615.0,0.0,0.0,0.0,1.0,0.0,32.0
117,46.0,none,none,none,none,Dobroslav Paraga,Dobroslav Paraga,Dobroslav,Paraga,none,none,Bosnia,Bosnia vs HOS,Croatian Defence Forces,none,NaN,Male,1960.0,NaN,0.0,"Zagreb, Croatia (Former Yugoslavia)",31.0,33.0,Founded/Co-founded,0.0,Obtained Bachelor's,Law,Law,none,0.0,0.0,1.0,NaN,1.0,Christianity,NaN,1.0,0.0,0.0,Military,1.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,0.0,none,Croatian,0.0,0.0,Complete,127,1993.0-1993.0,1.0,195,1.0,4.0,1993.0,9.0,1993.0,203.0,301.0,1213.0,0.0,2.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NaN,1101.0,346.0,0.0,0.0,1.0,0.0,0.0,33.0
118,384.0,none,none,none,none,Dokka Umarov,Dokka Umarov,Dokka,Umarov,none,none,Russia,Russia vs Caucasus Emirate,Imarat Kavkaz,"Caucasus Emirate, ChRI",85.0,Male,1964.0,2013.0,1.0,"Kharsenoy, Russia (Former USSR)",43.0,43.0,Appointed/Designated,0.0,Obtained Bachelor's,Civil Engineering,Engineering,none,0.0,0.0,1.0,NaN,1.0,Islam,NaN,0.0,0.0,0.0,Engineering,0.0,1.0,1.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,Assassinated by government,"Chechen, Russian",0.0,0.0,Complete,669,2006.0-2011.0,32.0,1479,1.0,10.0,2007.0,12.0,2007.0,257.0,773.0,1210.0,0.0,1.0,1.0,1.0,2.0,1.0,156.0,125.0,16.0,11.0,0.0,0.0,1.0,1.0,1,1.0,3.0,15726.0,365.0,0.0,0.0,1.0,0.0,0.0,43.0
